Original_ID,Mapped_ID
0.767,0
0.817,1
0.757,2
0.785,3
0.744,4
0.813,5
0.81,6
0.749,7
0.792,8
0.804,9
0.784,10
0.8107,11
0.775,12
0.766,13
0.801,14
0.808,15
0.8108,16
0.771,17
0.772,18
0.818,19
0.796,20
0.797,21
0.777,22
0.8078,23
0.795,24
0.7179,25
0.8096,26
0.811,27
0.787,28
0.781,29
0.753,30
0.8097,31
0.782,32
0.786,33
0.719,34
0.7147,35
0.754,36
0.776,37
0.3233,38
0.8092,39
0.8101,40
0.752,41
0.764,42
0.8091,43
0.806,44
0.8079,45
0.76,46
0.8102,47
0.8,48
0.8106,49
0.8104,50
0.75,51
0.8114,52
0.6733,53
0.7137,54
0.814,55
0.728,56
0.7547,57
0.8112,58
0.774,59
,60
0.762,61
0.794,62
0.2252,63
0.805,64
0.807,65
0.7554,66
0.78,67
0.8099,68
0.7153,69
0.2999,70
0.717,71
0.7672,72
0.3001,73
0.8093,74
0.7166,75
0.6731,76
0.8109,77
0.788,78
0.8066,79
0.8082,80
0.7191,81
0.8065,82
0.8087,83
0.8064,84
0.8088,85
0.8076,86
0.8073,87
