Original_ID,Mapped_ID
Ford,0
Volkswagen,1
Citroen,2
Mercedes-Benz,3
Audi,4
Toyota,5
Subaru,6
BMW,7
Nissan,8
Renault,9
Mazda,10
Hongqi,11
Jaguar,12
Fiat,13
Porsche,14
Skoda,15
Seres,16
Honda,17
Hyundai,18
Volvo,19
Peugeot,20
Plymouth,21
Kia,22
Tesla,23
Opel,24
Isuzu,25
Maxus,26
Suzuki,27
Mitsubishi,28
Land Rover,29
Chevrolet,30
MAN,31
Lexus,32
MG,33
Ssangyong,34
MINI,35
Chrysler,36
Jeep,37
Alfa Romeo,38
Alpina,39
BYD,40
Cadillac,41
Dodge,42
DS,43
Saab,44
Dacia,45
Daewoo,46
Polestar,47
Pontiac,48
Cupra,49
XPeng,50
Buick,51
JAC,52
Aston Martin,53
Smart,54
Triumph,55
Iveco,56
GMC,57
VOYAH,58
Jensen,59
,60
Daihatsu,61
Oldsmobile,62
Andre,63
Rover,64
Seat,65
Mercury,66
Lancia,67
Goupil,68
Lincoln,69
Ferrari,70
Rolls Royce,71
RAM,72
Hummer,73
Maserati,74
Abarth,75
Bentley,76
Lamborghini,77
NIO,78
Morgan,79
Buddy,80
Maybach,81
Lotus,82
Infiniti,83
McLaren,84
Santana,85
Tazzari,86
Radical,87
Austin,88
Fisker,89
