Original_ID,Mapped_ID
1.767.3739,0
1.817.1437,1
1.767.2000084,2
1.817.2000235,3
1.757.7521,4
1.757.2000544,5
1.757.7986,6
1.757.8237,7
1.785.2000327,8
1.744.2046,9
1.813.3074,10
1.757.3255,11
1.810.7141,12
1.813.1386,13
1.749.2000265,14
1.813.2000401,15
1.792.2000183,16
1.817.1433,17
1.804.2000301,18
1.784.2000214,19
1.8107.8304,20
1.785.1187,21
1.813.1389,22
1.813.3759,23
1.775.2000042,24
1.817.2000504,25
1.817.8392,26
1.767.1063,27
1.766.2000071,28
1.801.1301,29
1.813.1396,30
1.784.2000519,31
1.749.2000557,32
1.808.2000224,33
1.744.2000190,34
1.785.3777,35
1.775.2000432,36
1.8108.2000561,37
1.771.8363,38
1.772.2000102,39
1.749.7967,40
1.744.839,41
1.818.2000172,42
1.817.1438,43
1.818.7651,44
1.818.2000437,45
1.749.2132,46
1.772.2000546,47
1.796.2000079,48
1.797.2106,49
1.796.3754,50
1.817.6709,51
1.749.2000133,52
1.817.2000209,53
1.772.2000393,54
1.808.1355,55
1.777.2000064,56
1.8078.2000138,57
1.749.2131,58
1.813.8372,59
1.808.6747,60
1.744.3731,61
1.817.7593,62
1.785.3775,63
1.775.3747,64
1.766.8325,65
1.818.2000238,66
1.785.3776,67
1.813.2000134,68
1.813.6749,69
1.749.7798,70
1.772.8349,71
1.796.2000131,72
1.796.2000259,73
1.795.1259,74
1.818.6718,75
1.749.6737,76
1.813.1394,77
1.785.2000096,78
1.817.1441,79
1.813.2000575,80
1.7179.2000077,81
1.8096.2000603,82
1.771.1088,83
1.811.8375,84
1.767.1065,85
1.817.1444,86
1.818.2000390,87
1.818.3077,88
1.777.2000223,89
1.744.2000174,90
1.785.8111,91
1.796.3755,92
1.787.2000165,93
1.744.8149,94
1.744.840,95
1.777.2000300,96
1.767.2076,97
1.811.1372,98
1.817.2000388,99
1.817.8376,100
1.744.8314,101
1.785.8121,102
1.817.2000170,103
1.808.8395,104
1.785.2000515,105
1.813.1480,106
1.744.2000166,107
1.749.2130,108
1.785.2259,109
1.749.2000283,110
1.781.6742,111
1.8096.2000564,112
1.771.3744,113
1.787.7713,114
1.767.1052,115
1.811.7177,116
1.753.4338,117
1.8097.1502,118
1.767.2000266,119
1.757.2000434,120
1.767.1051,121
1.744.2000097,122
1.757.2000446,123
1.782.3812,124
1.811.1377,125
1.767.1055,126
1.808.2000518,127
1.786.2000552,128
1.757.2000211,129
1.801.7714,130
1.7190.7511,131
1.796.8293,132
1.808.7532,133
1.767.7995,134
1.817.7592,135
1.767.1053,136
1.785.2897,137
1.818.7849,138
1.7147.7150,139
1.8078.2000379,140
1.818.2000093,141
1.808.2000517,142
1.777.2000459,143
1.804.1331,144
1.777.2000392,145
1.813.2000601,146
1.781.2000197,147
1.792.2000061,148
1.813.2000423,149
1.813.1397,150
1.796.2000212,151
1.808.2000409,152
1.754.928,153
1.8078.2000501,154
1.772.2000609,155
1.817.1430,156
1.749.2000532,157
1.744.7709,158
1.744.2000400,159
1.785.2000422,160
